Started_Date,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
2013-01-15,3.78,0.9,2.92,300.74,0.0,0.36
2013-02-15,6.48,0.87,1.28,84.41,0.0,0.34
2013-03-15,6.74,0.7,1.53,40.69,0.0,0.39
2013-04-15,15.84,0.74,0.94,275.24,0.0,0.36
2013-05-15,11.55,0.84,4.11,274.31,0.49,0.21
2013-06-15,22.03,0.38,1.75,301.6,0.0,0.17
2013-08-15,27.37,0.42,1.43,199.02,0.0,0.13
2013-09-15,21.55,0.53,0.85,311.77,0.0,0.12
2013-10-15,15.79,0.9,2.09,238.23,0.0,0.19
2013-11-15,7.33,0.68,3.19,16.81,0.0,0.28
2014-01-15,10.07,0.97,2.53,263.26,0.0,0.37
2014-02-15,7.53,0.94,1.9,256.46,0.21,0.43
2014-03-15,8.88,0.77,1.61,32.34,0.0,0.29
2014-04-15,16.24,0.77,1.4,187.19,0.0,0.3
2014-05-15,21.16,0.41,4.4,79.07,0.0,0.18
2014-07-15,26.77,0.54,0.16,217.14,0.0,0.13
2014-09-15,20.01,0.81,1.76,163.43,0.05,0.16
2014-10-15,15.05,0.89,3.78,182.25,0.06,0.39
2014-11-15,10.19,0.94,3.44,221.59,0.01,0.4
2014-12-15,7.13,0.89,3.51,346.04,0.0,0.39
2015-01-15,7.04,0.95,2.93,174.74,0.0,0.33
2015-02-15,9.02,0.89,4.75,277.23,0.01,0.37
2015-03-15,6.29,0.64,1.7,49.09,0.0,0.25
2015-04-15,14.83,0.84,2.07,104.49,0.12,0.28
2015-05-15,15.18,0.44,5.81,348.55,0.0,0.21
2015-07-15,27.7,0.45,0.89,237.47,0.0,0.12
2015-08-15,19.48,0.6,3.19,319.54,0.0,0.13
2015-10-15,12.16,0.75,1.15,34.05,0.0,0.28
2015-11-15,9.18,0.91,1.98,91.13,0.0,0.31
2015-12-15,10.03,0.86,2.79,141.28,0.0,0.33
2016-01-15,7.98,0.91,3.31,332.89,0.0,0.38
2016-02-15,5.97,0.75,5.41,317.7,0.0,0.39
2016-03-15,8.05,0.93,1.46,262.38,0.0,0.29
2016-04-15,13.08,0.86,4.36,192.23,0.0,0.35
2016-05-15,15.58,0.78,2.21,340.82,0.0,0.38
2016-06-15,16.02,0.66,5.24,263.85,0.08,0.17
2016-10-15,11.71,0.84,1.49,160.22,0.0,0.26
2016-11-15,7.83,0.66,2.91,48.79,0.0,0.3
2016-12-15,5.6,0.91,2.03,307.14,0.0,0.38
2017-01-15,1.25,0.76,2.19,337.6,0.0,0.31
2017-02-15,8.37,0.85,3.47,70.65,0.0,0.39
2017-03-15,12.01,0.61,5.6,68.9,0.0,0.3
2017-04-15,14.93,0.72,1.86,293.79,0.0,0.18
2017-05-15,19.36,0.62,1.59,57.53,0.0,0.28
2017-10-15,22.66,0.33,3.01,108.34,0.0,0.1
2017-11-15,6.22,0.66,1.86,97.78,0.0,0.2
2017-12-15,11.54,0.98,4.16,244.28,0.77,0.31
2018-01-15,0.56,1.0,1.59,359.3,0.0,0.35
2018-02-15,9.89,0.91,1.35,187.43,0.01,0.26
2018-03-15,8.34,0.88,3.56,232.65,0.08,0.41
2018-04-15,10.54,0.89,2.44,194.62,0.08,0.38
2018-08-15,25.22,0.41,1.02,92.96,0.0,0.13
2018-11-15,12.35,0.88,3.54,77.24,0.0,0.35
2018-12-15,6.59,0.97,1.57,202.27,0.0,0.35
2019-01-15,1.98,0.86,1.95,80.96,0.0,0.29
2019-02-15,6.71,0.77,2.87,78.04,0.0,0.29
2019-03-15,7.93,0.76,1.89,53.13,0.0,0.24
2019-04-15,15.62,0.74,3.21,239.82,0.0,0.23
2019-11-15,4.77,0.78,3.6,291.58,0.0,0.26
2019-12-15,10.53,0.91,3.14,191.13,0.01,0.31
